lat,long,el
35.9028015,-121.4189987,3585
35.9062004,-121.4089966,3678
35.9095993,-121.4000015,3702
35.9002991,-121.4509964,1191
35.9037018,-121.4420013,2272
35.9071007,-121.4329987,3608
35.9104996,-121.4229965,3368
35.9138985,-121.4140015,3561
35.9173012,-121.4039993,3605
35.9080009,-121.4560013,3413
35.9113998,-121.4459991,3698
35.9147987,-121.4369965,3723
35.9182014,-121.427002,3772
35.9216003,-121.4179993,3616
35.9249992,-121.4079971,3648
35.9123001,-121.4690018,84
35.915699,-121.4599991,3413
35.9191017,-121.4499969,3775
35.9225006,-121.4410019,3914
35.9258995,-121.4309998,3872
35.9292984,-121.4219971,3835
35.9327011,-121.413002,3864
35.9361,-121.4029999,3819
35.9199982,-121.4729996,84
35.9234009,-121.4639969,2213
35.9267998,-121.4550018,3528
35.9301987,-121.4449997,3689
35.9336014,-121.435997,3902
35.9370003,-121.4260025,4080
35.9403992,-121.4169998,3982
35.9438019,-121.4069977,4016
35.9310989,-121.4680023,84
35.9345016,-121.4589996,3534
35.9379005,-121.4489975,3745
35.9412994,-121.4400024,3988
35.9446983,-121.4300003,4053
35.948101,-121.4209976,4079
35.9514008,-121.4110031,4016
35.9547997,-121.4020004,3986
35.9388008,-121.4720001,84
35.9421997,-121.4629974,1185
35.9455986,-121.4530029,3322
35.9490013,-121.4440002,3609
35.9524002,-121.4349976,3741
35.9556999,-121.4250031,4048
35.9590988,-121.4160004,4122
35.9625015,-121.4059982,3959
35.9464989,-121.4769974,84
35.9499016,-121.4670029,2240
35.9533005,-121.4580002,3379
35.9566002,-121.447998,3623
35.9599991,-121.439003,3741
35.9634018,-121.4290009,4152
35.9668007,-121.4199982,4116
35.9701996,-121.4100037,4055
35.9735985,-121.401001,4097
35.9541016,-121.4810028,84
35.9575005,-121.4710007,3364
35.9608994,-121.461998,3803
35.9642982,-121.4520035,3723
35.967701,-121.4430008,3825
35.9710999,-121.4329987,99
35.9744987,-121.4240036,4076
35.9779015,-121.4140015,4055
35.9813004,-121.4049988,3883
35.9651985,-121.4749985,3624
35.9686012,-121.4660034,3803
35.9720001,-121.4570007,4052
35.975399,-121.4469986,4149
35.9788017,-121.4380035,99
35.9822006,-121.4280014,4094
35.9855995,-121.4189987,4026
35.9889984,-121.4089966,4005
35.9924011,-121.4000015,3834
35.9729004,-121.4800034,2202
35.9762993,-121.4700012,3415
35.9796982,-121.4609985,3852
35.9831009,-121.4509964,3983
35.9864998,-121.4420013,4130
35.9898987,-121.4319992,4168
35.9933014,-121.4229965,4031
35.9967003,-121.413002,4005
36.0000992,-121.4039993,3842
35.9805984,-121.4840012,3523
35.9840012,-121.473999,3612
35.9874001,-121.4649963,3852
35.990799,-121.4550018,3726
35.9942017,-121.4459991,3859
35.9976006,-121.435997,4081
36.0009995,-121.427002,4149
36.0043983,-121.4179993,4037
36.0078011,-121.4079971,3923
35.9883003,-121.487999,1130
35.9916992,-121.4789963,2255
35.9950981,-121.4690018,3654
35.9985008,-121.4599991,3694
36.0018997,-121.4499969,3878
36.0052986,-121.4410019,4081
36.0087013,-121.4309998,3980
36.0121002,-121.4219971,4010
36.0154991,-121.4120026,3891
36.0189018,-121.4029999,3975
